TIME,PDCSAP_FLUX
3209.445485702112,15273.859
3209.4659173328255,15277.578
3209.486349,15303.912
3209.5067805940344,15285.914
3209.527212224515,15282.72
3209.547643855003,15286.623
3209.568075485491,15293.416
3209.5885071158555,15286.396
3209.608938846228,15287.923
3209.6293703764823,15293.326
3209.649802,15279.327
3209.6702337368697,15288.214
3209.6906652670077,15303.193
3209.711096897139,15281.928
3209.731528627046,15277.64
3209.7519601573003,15285.743
3209.772391787199,15280.376
3209.7928235169893,15293.757
3209.8132550468945,15278.035
3209.8336867766775,
3209.8541184063506,15263.553
3209.874549936023,15266.924
3209.8949816656896,15276.457
3209.9154132952463,15272.096
3209.9358449247957,15266.531
3209.956276554236,15263.16
3209.9767081836762,15268.297
3209.9971398131165,15272.231
3210.017571442433,15271.696
3210.038003071757,15262.869
3210.058434700957,15282.478
3210.0788664301654,15279.341
3210.0992979592556,15264.681
3210.11973,15147.866
3210.140161317431,14955.618
3210.1605928465215,14793.604
3210.1810245754896,14874.043
3210.201456204348,15083.633
3210.221887733205,15238.522
3210.242319462057,15283.348
3210.2627510907987,15282.63
3210.283182619656,15282.586
3210.303614348275,15278.248
3210.3240458768996,15278.343
3210.344477505525,15265.049
3210.364909234144,15273.104
3210.385340762652,15283.01
3210.4057724911618,15294.647
3210.426204119547,15288.565
3210.4466357479396,15283.505
3210.467067376332,15282.595
3210.487499004601,15292.756
3210.507930632877,15288.45
3210.528362261037,15281.573
3210.5487938893057,15274.531
3210.569225517349,
3210.5896572455094,15280.276
3210.6100887735447,15278.705
3210.630520401588,15293.142
3210.6509521295156,15286.66
3210.6713836574345,15280.51
3210.691815385362,15282.912
3210.712247013289,15282.495
3210.7326785410914,15271.038
3210.7531102687863,15278.425
3210.7735418965967,15277.67
3210.7939734242827,15272.979
3210.814405151861,
3210.834836779555,15264.807
3210.855268307125,15277.738
3210.8757000345868,15274.613
3210.8961316621644,15262.856
3210.9165632896184,15278.257
3210.9369949170796,15288.517
3210.9574265444244,15282.216
3210.977858171762,15276.519
3210.9982897991067,15284.342
3211.018721426335,15280.6875
3211.039153053556,15286.687
3211.0595846807846,15270.267
3211.080016308013,15279.893
3211.1004479351177,15274.824
3211.1208795622297,15279.527
3211.1413111893416,15273.388
3211.1617429163307,15276.311
3211.1821744433255,15279.539
3211.2026060702046,15280.251
3211.2230377971937,15285.245
3211.243469324072,15351.87
3211.2639010509447,15279.966
3211.2843326777074,15283.651
3211.304764204586,
3211.325195931233,
3211.3456275579883,15280.914
3211.3660590847503,15282.86
3211.386491,15283.945
3211.406922,15284.233
3211.4273540645663,15283.322
3211.447785691089,15279.261
3211.468217317619,15298.32
3211.4886489441487,15289.794
3211.509080570555,15278.811
